onetsoc,title,job_zone,job_zone_name,VA,AR,CM,SA,FP,CP,MC,MD,FD,n_descriptors_used,missing_flags,abilities_date
17-2021.00,Agricultural Engineers,4,Job Zone Four: Considerable Preparation Needed,8.42,8.51,8.38,7.24,5.88,5.88,2.00,2.57,3.00,17,,08/2024
17-2031.00,Bioengineers and Biomedical Engineers,4,Job Zone Four: Considerable Preparation Needed,8.63,8.69,8.44,7.25,6.00,6.00,2.75,3.38,3.69,17,,08/2024
17-2041.00,Chemical Engineers,4,Job Zone Four: Considerable Preparation Needed,8.06,8.69,8.60,6.87,6.74,6.74,2.63,1.94,2.75,17,,08/2025
17-2051.00,Civil Engineers,4,Job Zone Four: Considerable Preparation Needed,8.39,8.95,8.65,7.87,7.37,7.37,1.88,1.44,2.81,17,,08/2021
17-2051.01,Transportation Engineers,4,Job Zone Four: Considerable Preparation Needed,8.32,8.62,8.54,7.87,6.00,6.00,2.63,2.32,2.82,17,,08/2023
17-2051.02,Water/Wastewater Engineers,4,Job Zone Four: Considerable Preparation Needed,8.42,8.70,8.49,7.75,5.88,5.88,1.37,1.19,2.12,17,,08/2020
17-2061.00,Computer Hardware Engineers,4,Job Zone Four: Considerable Preparation Needed,8.23,7.66,7.62,7.13,5.88,5.88,2.25,3.19,3.75,17,,08/2021
17-2071.00,Electrical Engineers,4,Job Zone Four: Considerable Preparation Needed,8.43,7.95,7.79,6.62,6.24,6.24,2.50,3.37,3.37,17,,08/2023
17-2072.00,"Electronics Engineers, Except Computer",4,Job Zone Four: Considerable Preparation Needed,8.03,8.30,7.89,7.50,6.00,6.00,3.75,4.76,5.00,17,,08/2022
17-2072.01,Radio Frequency Identification Device Specialists,4,Job Zone Four: Considerable Preparation Needed,7.61,6.62,6.66,6.00,4.88,4.88,3.62,3.87,4.13,17,,07/2015
17-2081.00,Environmental Engineers,4,Job Zone Four: Considerable Preparation Needed,8.60,7.87,7.79,6.12,6.00,6.00,2.63,1.82,2.20,17,,08/2024
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4,Job Zone Four: Considerable Preparation Needed,7.85,6.40,6.45,6.00,6.25,6.25,3.50,2.25,2.44,17,,08/2024
17-2111.02,Fire-Prevention and Protection Engineers,4,Job Zone Four: Considerable Preparation Needed,8.20,7.40,7.36,7.00,6.12,6.12,2.76,1.88,2.95,17,,08/2025
17-2112.00,Industrial Engineers,4,Job Zone Four: Considerable Preparation Needed,8.25,7.50,7.46,7.00,5.50,5.50,2.75,2.00,3.07,17,,08/2020
17-2112.01,Human Factors Engineers and Ergonomists,5,Job Zone Five: Extensive Preparation Needed,8.65,7.59,7.47,7.13,6.00,6.00,2.24,1.62,1.87,17,,08/2024
17-2112.02,Validation Engineers,4,Job Zone Four: Considerable Preparation Needed,8.26,7.46,7.29,5.75,5.88,5.88,3.38,2.44,3.38,17,,08/2018
17-2112.03,Manufacturing Engineers,4,Job Zone Four: Considerable Preparation Needed,8.41,8.65,8.61,8.00,6.87,6.87,4.12,4.38,4.50,17,,07/2017
17-2121.00,Marine Engineers and Naval Architects,4,Job Zone Four: Considerable Preparation Needed,8.32,7.97,7.63,7.75,5.75,5.75,4.63,4.57,4.76,17,,08/2025
17-2131.00,Materials Engineers,4,Job Zone Four: Considerable Preparation Needed,8.57,8.52,8.02,7.13,6.37,6.37,3.38,3.94,4.19,17,,08/2020
17-2141.00,Mechanical Engineers,4,Job Zone Four: Considerable Preparation Needed,8.14,8.44,8.22,7.38,6.25,6.25,2.63,2.63,3.50,17,,08/2024
17-2141.01,Fuel Cell Engineers,4,Job Zone Four: Considerable Preparation Needed,8.27,8.21,7.87,7.13,6.62,6.62,3.13,3.82,4.45,17,,08/2022
17-2141.02,Automotive Engineers,4,Job Zone Four: Considerable Preparation Needed,8.29,9.08,8.83,7.87,5.76,5.76,2.12,2.37,3.00,17,,08/2022
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4,Job Zone Four: Considerable Preparation Needed,8.54,8.75,8.38,7.38,6.37,6.37,2.63,1.82,2.88,17,,08/2018
17-2161.00,Nuclear Engineers,4,Job Zone Four: Considerable Preparation Needed,8.76,8.87,8.75,6.12,6.75,6.75,1.88,1.94,2.13,17,,08/2024
17-2171.00,Petroleum Engineers,4,Job Zone Four: Considerable Preparation Needed,8.21,7.84,7.59,6.50,6.00,6.00,1.37,1.19,2.50,17,,08/2020
17-2199.03,"Energy Engineers, Except Wind and Solar",4,Job Zone Four: Considerable Preparation Needed,8.18,8.20,7.99,6.87,5.88,5.88,1.24,1.12,2.25,17,,07/2016
17-2199.05,Mechatronics Engineers,4,Job Zone Four: Considerable Preparation Needed,7.96,7.69,7.40,7.00,5.63,5.63,3.00,3.13,3.75,17,,08/2022
17-2199.06,Microsystems Engineers,5,Job Zone Five: Extensive Preparation Needed,8.29,8.04,8.04,7.12,6.63,6.63,3.50,4.38,4.50,17,,07/2016
17-2199.07,Photonics Engineers,4,Job Zone Four: Considerable Preparation Needed,8.40,9.19,8.85,7.37,6.12,6.12,2.50,3.75,4.06,17,,08/2018
17-2199.08,Robotics Engineers,4,Job Zone Four: Considerable Preparation Needed,8.33,8.90,8.48,8.50,7.13,7.13,3.88,4.94,5.50,17,,08/2018
17-2199.09,Nanosystems Engineers,5,Job Zone Five: Extensive Preparation Needed,8.75,8.89,8.60,7.00,5.88,5.88,4.00,4.44,4.88,17,,08/2023
17-2199.10,Wind Energy Engineers,4,Job Zone Four: Considerable Preparation Needed,7.75,8.68,8.39,7.12,5.63,5.63,2.37,1.94,3.56,17,,07/2012
17-2199.11,Solar Energy Systems Engineers,4,Job Zone Four: Considerable Preparation Needed,8.02,7.73,7.48,6.50,5.88,5.88,2.87,3.62,3.63,17,,08/2023
17-3011.00,Architectural and Civil Drafters,3,Job Zone Three: Medium Preparation Needed,7.19,7.03,6.86,7.62,5.00,5.00,4.24,4.25,4.37,17,,08/2024
17-3012.00,Electrical and Electronics Drafters,3,Job Zone Three: Medium Preparation Needed,7.50,6.74,6.78,7.50,5.76,5.76,4.00,4.00,4.38,17,,08/2022
17-3013.00,Mechanical Drafters,3,Job Zone Three: Medium Preparation Needed,6.97,7.82,7.57,7.50,5.88,5.88,2.25,3.07,4.25,17,,07/2017
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.44,6.96,6.92,7.00,6.63,6.63,3.50,4.75,4.75,17,,08/2019
17-3022.00,Civil Engineering Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.51,7.93,7.68,7.62,5.76,5.76,2.50,3.19,3.69,17,,07/2017
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.39,6.39,6.30,7.26,6.37,6.37,3.62,4.50,4.81,17,,08/2024
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,6.73,6.29,6.29,7.12,7.12,7.12,4.12,5.50,5.88,17,,08/2022
17-3024.01,Robotics Technicians,3,Job Zone Three: Medium Preparation Needed,7.37,7.04,6.95,7.63,6.50,6.50,4.88,6.26,6.44,17,,08/2018
17-3025.00,Environmental Engineering Technologists and Technicians,4,Job Zone Four: Considerable Preparation Needed,7.71,7.14,7.14,6.13,6.00,6.00,3.88,4.76,4.88,17,,07/2014
17-3026.00,Industrial Engineering Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.41,7.02,6.94,7.00,6.12,6.12,3.75,3.88,4.38,17,,07/2014
17-3026.01,Nanotechnology Engineering Technologists and Technicians,4,Job Zone Four: Considerable Preparation Needed,8.46,7.48,7.56,6.50,6.63,6.63,4.00,4.63,5.32,17,,08/2025
17-3027.00,Mechanical Engineering Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.62,7.10,7.27,7.26,6.50,6.50,4.37,5.13,5.31,17,,08/2022
17-3027.01,Automotive Engineering Technicians,3,Job Zone Three: Medium Preparation Needed,7.30,7.01,6.80,6.37,6.37,6.37,4.63,5.19,5.57,17,,07/2016
17-3029.01,Non-Destructive Testing Specialists,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.31,6.97,6.93,6.24,6.24,6.24,4.00,5.00,4.88,17,,08/2023
17-3029.08,Photonics Technicians,3,Job Zone Three: Medium Preparation Needed,6.88,6.41,6.41,6.24,6.25,6.25,4.12,5.12,5.63,17,,08/2024
17-3031.00,Surveying and Mapping Technicians,3,Job Zone Three: Medium Preparation Needed,7.00,6.77,6.69,5.75,5.50,5.50,3.87,4.44,4.38,17,,08/2024
19-1011.00,Animal Scientists,5,Job Zone Five: Extensive Preparation Needed,8.72,7.83,7.91,5.75,5.88,5.88,3.00,2.12,2.81,17,,08/2022
19-1012.00,Food Scientists and Technologists,4,Job Zone Four: Considerable Preparation Needed,8.32,7.17,7.18,5.37,6.24,6.24,3.75,3.94,4.25,17,,08/2025
19-1013.00,Soil and Plant Scientists,5,Job Zone Five: Extensive Preparation Needed,8.82,7.59,7.42,5.76,6.00,6.00,2.87,3.38,4.06,17,,08/2021
19-1021.00,Biochemists and Biophysicists,5,Job Zone Five: Extensive Preparation Needed,9.51,9.16,8.78,6.63,6.24,6.24,3.87,4.12,4.62,17,,08/2020
19-1022.00,Microbiologists,4,Job Zone Four: Considerable Preparation Needed,8.81,7.10,7.06,6.38,6.38,6.38,3.63,4.38,5.01,17,,08/2024
19-1023.00,Zoologists and Wildlife Biologists,4,Job Zone Four: Considerable Preparation Needed,8.62,6.52,6.56,5.76,5.75,5.75,3.75,3.88,4.13,17,,08/2023
19-1029.01,Bioinformatics Scientists,5,Job Zone Five: Extensive Preparation Needed,8.81,8.57,8.44,6.38,6.62,6.62,1.00,2.07,3.19,17,,07/2012
19-1029.02,Molecular and Cellular Biologists,5,Job Zone Five: Extensive Preparation Needed,9.63,8.43,8.17,5.88,6.00,6.00,3.38,3.69,4.57,17,,08/2021
19-1029.03,Geneticists,5,Job Zone Five: Extensive Preparation Needed,9.17,8.04,7.91,5.76,5.76,5.76,3.38,3.63,3.94,17,,08/2021
19-1029.04,Biologists,5,Job Zone Five: Extensive Preparation Needed,9.08,8.12,7.53,6.00,6.00,6.00,2.76,3.38,4.00,17,,08/2025
19-1031.00,Conservation Scientists,4,Job Zone Four: Considerable Preparation Needed,7.94,7.02,7.02,5.88,5.62,5.62,4.50,4.44,4.44,17,,08/2022
19-1031.02,Range Managers,4,Job Zone Four: Considerable Preparation Needed,7.97,6.38,6.34,5.88,4.87,4.87,3.00,3.56,3.50,17,,08/2020
19-1031.03,Park Naturalists,4,Job Zone Four: Considerable Preparation Needed,8.07,4.38,4.46,5.88,6.00,6.00,3.00,3.57,3.63,17,,08/2023
19-1032.00,Foresters,4,Job Zone Four: Considerable Preparation Needed,7.93,6.72,6.68,6.37,5.63,5.63,3.38,3.69,3.88,17,,08/2023
19-1041.00,Epidemiologists,5,Job Zone Five: Extensive Preparation Needed,9.19,8.44,8.27,6.12,6.00,6.00,2.12,1.68,2.63,17,,08/2023
19-1042.00,"Medical Scientists, Except Epidemiologists",5,Job Zone Five: Extensive Preparation Needed,9.07,7.56,7.39,5.38,6.00,6.00,2.25,3.31,3.94,17,,08/2021
19-2011.00,Astronomers,5,Job Zone Five: Extensive Preparation Needed,9.09,9.78,9.61,6.00,6.24,6.24,2.00,1.75,2.19,17,,08/2024
19-2012.00,Physicists,5,Job Zone Five: Extensive Preparation Needed,9.48,10.60,10.30,7.87,6.25,6.25,1.37,1.19,2.88,17,,08/2020
19-2021.00,Atmospheric and Space Scientists,4,Job Zone Four: Considerable Preparation Needed,8.70,8.44,8.07,5.12,5.88,5.88,2.24,1.87,2.00,17,,08/2024
19-2031.00,Chemists,4,Job Zone Four: Considerable Preparation Needed,8.64,8.15,8.11,6.50,6.12,6.12,3.00,4.19,4.63,17,,08/2023
19-2032.00,Materials Scientists,4,Job Zone Four: Considerable Preparation Needed,8.46,8.19,7.98,6.50,6.00,6.00,3.12,2.93,3.13,17,,08/2024
19-2041.00,"Environmental Scientists and Specialists, Including Health",4,Job Zone Four: Considerable Preparation Needed,8.75,6.84,6.80,5.25,5.50,5.50,1.37,2.00,2.38,17,,08/2023
19-2041.01,Climate Change Policy Analysts,5,Job Zone Five: Extensive Preparation Needed,8.26,6.71,6.71,5.24,4.37,4.37,1.24,1.12,1.74,17,,08/2021
19-2041.02,Environmental Restoration Planners,5,Job Zone Five: Extensive Preparation Needed,8.38,7.17,7.04,6.50,5.88,5.88,2.12,2.88,3.25,17,,08/2021
19-2041.03,Industrial Ecologists,5,Job Zone Five: Extensive Preparation Needed,8.47,8.21,7.96,5.63,5.76,5.76,3.00,2.00,2.00,17,,08/2021
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",5,Job Zone Five: Extensive Preparation Needed,8.73,8.05,7.63,6.25,6.00,6.00,3.25,3.00,3.25,17,,08/2020
19-2043.00,Hydrologists,5,Job Zone Five: Extensive Preparation Needed,8.51,8.84,8.50,6.62,6.37,6.37,3.00,3.37,3.75,17,,08/2018
19-2099.01,Remote Sensing Scientists and Technologists,4,Job Zone Four: Considerable Preparation Needed,8.57,8.53,8.36,6.37,6.00,6.00,1.88,2.69,3.07,17,,08/2023
19-3011.00,Economists,5,Job Zone Five: Extensive Preparation Needed,8.80,9.16,8.87,4.50,4.50,4.50,1.76,1.38,1.76,17,,08/2024
19-3011.01,Environmental Economists,5,Job Zone Five: Extensive Preparation Needed,8.67,9.52,9.23,5.75,5.76,5.76,1.24,1.12,1.81,17,,08/2020
19-3022.00,Survey Researchers,5,Job Zone Five: Extensive Preparation Needed,8.84,8.47,8.38,4.12,5.12,5.12,2.24,1.87,2.06,17,,08/2025
19-3032.00,Industrial-Organizational Psychologists,5,Job Zone Five: Extensive Preparation Needed,9.07,8.02,7.68,5.00,5.50,5.50,1.00,1.00,1.63,17,,08/2023
19-3033.00,Clinical and Counseling Psychologists,5,Job Zone Five: Extensive Preparation Needed,8.97,4.73,4.64,4.00,4.62,4.62,2.00,1.50,1.50,17,,08/2024
19-3034.00,School Psychologists,5,Job Zone Five: Extensive Preparation Needed,8.58,6.37,6.29,4.75,5.76,5.76,1.88,1.44,2.76,17,,08/2019
