onetsoc,title,job_zone,job_zone_name,VA,AR,CM,SA,FP,CP,MC,MD,FD,n_descriptors_used,missing_flags,abilities_date
29-1151.00,Nurse Anesthetists,5,Job Zone Five: Extensive Preparation Needed,8.30,7.29,7.29,6.24,6.76,6.76,4.37,5.25,5.25,17,,08/2021
29-1161.00,Nurse Midwives,5,Job Zone Five: Extensive Preparation Needed,8.43,5.82,5.82,5.88,6.24,6.24,2.12,4.06,4.12,17,,08/2021
29-1171.00,Nurse Practitioners,5,Job Zone Five: Extensive Preparation Needed,8.68,6.56,6.56,5.76,6.00,6.00,2.12,3.81,3.88,17,,08/2021
29-1181.00,Audiologists,5,Job Zone Five: Extensive Preparation Needed,8.68,6.12,5.91,5.25,6.24,6.24,3.00,4.32,4.94,17,,08/2021
29-1211.00,Anesthesiologists,5,Job Zone Five: Extensive Preparation Needed,8.53,6.41,6.37,5.13,7.63,7.63,4.24,5.18,5.62,17,,07/2012
29-1213.00,Dermatologists,5,Job Zone Five: Extensive Preparation Needed,8.38,5.52,5.52,5.63,6.00,6.00,2.24,4.06,4.50,17,,08/2021
29-1214.00,Emergency Medicine Physicians,5,Job Zone Five: Extensive Preparation Needed,9.30,6.03,6.03,6.00,6.88,6.88,6.12,6.25,6.44,17,,08/2025
29-1215.00,Family Medicine Physicians,5,Job Zone Five: Extensive Preparation Needed,9.21,5.98,5.93,4.88,6.00,6.00,1.88,3.51,3.63,17,,08/2020
29-1216.00,General Internal Medicine Physicians,5,Job Zone Five: Extensive Preparation Needed,8.83,6.55,6.55,5.76,6.50,6.50,1.63,3.00,3.76,17,,08/2021
29-1217.00,Neurologists,5,Job Zone Five: Extensive Preparation Needed,9.11,6.92,6.88,7.00,7.12,7.12,1.24,1.81,3.25,17,,07/2012
29-1218.00,Obstetricians and Gynecologists,5,Job Zone Five: Extensive Preparation Needed,8.85,6.06,6.06,5.63,6.12,6.12,2.50,4.62,4.56,17,,08/2023
29-1221.00,"Pediatricians, General",5,Job Zone Five: Extensive Preparation Needed,8.94,5.71,5.71,4.63,6.00,6.00,1.63,2.88,3.38,17,,08/2020
29-1222.00,"Physicians, Pathologists",5,Job Zone Five: Extensive Preparation Needed,9.22,5.93,5.89,5.88,6.12,6.12,1.63,3.25,3.88,17,,08/2020
29-1223.00,Psychiatrists,5,Job Zone Five: Extensive Preparation Needed,9.02,5.43,5.25,4.88,5.50,5.50,1.00,1.00,2.69,17,,07/2014
29-1224.00,Radiologists,5,Job Zone Five: Extensive Preparation Needed,9.07,6.08,6.08,6.87,6.88,6.88,4.00,4.38,5.00,17,,08/2023
29-1229.01,Allergists and Immunologists,5,Job Zone Five: Extensive Preparation Needed,8.75,6.35,6.22,5.50,6.25,6.25,2.12,2.25,3.50,17,,08/2022
29-1229.02,Hospitalists,5,Job Zone Five: Extensive Preparation Needed,8.97,6.21,6.17,6.00,6.37,6.37,2.25,2.94,3.94,17,,08/2021
29-1229.03,Urologists,5,Job Zone Five: Extensive Preparation Needed,8.94,6.22,6.26,5.88,6.37,6.37,4.00,5.25,5.44,17,,08/2023
29-1229.04,Physical Medicine and Rehabilitation Physicians,5,Job Zone Five: Extensive Preparation Needed,8.70,6.36,6.40,6.74,5.88,5.88,3.26,4.13,4.38,17,,07/2012
29-1229.05,Preventive Medicine Physicians,5,Job Zone Five: Extensive Preparation Needed,9.39,7.06,6.93,6.37,6.00,6.00,2.37,1.81,2.19,17,,08/2023
29-1229.06,Sports Medicine Physicians,5,Job Zone Five: Extensive Preparation Needed,8.89,5.63,5.50,6.87,6.62,6.62,3.75,4.63,5.13,17,,07/2012
29-1241.00,"Ophthalmologists, Except Pediatric",5,Job Zone Five: Extensive Preparation Needed,8.94,6.70,6.70,6.12,6.50,6.50,4.63,5.57,6.32,17,,08/2022
29-1291.00,Acupuncturists,5,Job Zone Five: Extensive Preparation Needed,7.42,3.93,3.93,5.50,5.37,5.37,3.00,4.38,4.88,17,,08/2025
29-1292.00,Dental Hygienists,3,Job Zone Three: Medium Preparation Needed,6.64,3.85,3.85,5.88,6.00,6.00,4.24,5.50,5.94,17,,08/2021
29-1299.01,Naturopathic Physicians,5,Job Zone Five: Extensive Preparation Needed,8.71,5.86,5.86,5.76,6.00,6.00,2.88,3.32,3.94,17,,08/2021
29-1299.02,Orthoptists,5,Job Zone Five: Extensive Preparation Needed,8.33,5.55,5.46,5.88,6.24,6.24,2.75,4.26,4.57,17,,08/2021
29-2011.00,Medical and Clinical Laboratory Technologists,4,Job Zone Four: Considerable Preparation Needed,7.69,6.87,6.79,6.00,6.37,6.37,4.00,5.25,5.50,17,,08/2025
29-2011.01,Cytogenetic Technologists,4,Job Zone Four: Considerable Preparation Needed,7.93,6.25,6.21,5.88,6.37,6.37,3.00,4.32,4.56,17,,08/2021
29-2011.02,Cytotechnologists,5,Job Zone Five: Extensive Preparation Needed,7.14,5.21,4.92,5.87,5.88,5.88,4.00,5.06,5.69,17,,08/2021
29-2011.04,Histotechnologists,4,Job Zone Four: Considerable Preparation Needed,7.07,5.09,5.17,5.63,5.75,5.75,4.37,5.00,5.25,17,,08/2024
29-2012.00,Medical and Clinical Laboratory Technicians,3,Job Zone Three: Medium Preparation Needed,6.91,6.25,6.21,5.76,5.88,5.88,3.88,5.00,5.31,17,,07/2014
29-2012.01,Histology Technicians,3,Job Zone Three: Medium Preparation Needed,6.55,4.11,4.28,5.37,5.50,5.50,4.76,5.38,5.95,17,,08/2025
29-2031.00,Cardiovascular Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.40,5.56,5.52,5.37,6.63,6.63,4.12,5.06,5.18,17,,07/2014
29-2032.00,Diagnostic Medical Sonographers,3,Job Zone Three: Medium Preparation Needed,7.56,5.02,4.93,6.00,6.25,6.25,4.00,5.06,5.00,17,,07/2013
29-2033.00,Nuclear Medicine Technologists,3,Job Zone Three: Medium Preparation Needed,7.54,6.65,6.65,5.88,6.00,6.00,2.88,4.32,4.32,17,,07/2013
29-2034.00,Radiologic Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.15,4.73,4.77,6.12,6.37,6.37,4.88,5.26,5.19,17,,08/2022
29-2035.00,Magnetic Resonance Imaging Technologists,3,Job Zone Three: Medium Preparation Needed,7.65,5.21,5.29,5.88,6.12,6.12,4.00,5.06,5.12,17,,08/2023
29-2036.00,Medical Dosimetrists,4,Job Zone Four: Considerable Preparation Needed,8.27,7.77,7.60,6.62,6.38,6.38,4.00,4.44,4.31,17,,08/2024
29-2051.00,Dietetic Technicians,3,Job Zone Three: Medium Preparation Needed,7.01,6.45,6.37,5.76,5.50,5.50,4.24,4.62,4.87,17,,08/2021
29-2052.00,Pharmacy Technicians,3,Job Zone Three: Medium Preparation Needed,7.18,6.36,6.53,4.24,6.24,6.24,3.38,4.69,4.75,17,,08/2021
29-2053.00,Psychiatric Technicians,3,Job Zone Three: Medium Preparation Needed,7.39,3.69,3.69,4.37,5.25,5.25,2.12,3.25,3.56,17,,08/2023
29-2055.00,Surgical Technologists,3,Job Zone Three: Medium Preparation Needed,6.67,4.96,5.21,6.00,7.00,7.00,4.00,5.50,5.44,17,,07/2013
29-2056.00,Veterinary Technologists and Technicians,3,Job Zone Three: Medium Preparation Needed,7.26,6.15,6.15,5.63,6.00,6.00,3.63,5.00,4.94,17,,08/2020
29-2057.00,Ophthalmic Medical Technicians,3,Job Zone Three: Medium Preparation Needed,7.07,5.51,5.43,4.74,4.37,4.37,2.50,4.07,4.44,17,,08/2020
29-2061.00,Licensed Practical and Licensed Vocational Nurses,3,Job Zone Three: Medium Preparation Needed,7.64,5.68,5.89,5.50,5.88,5.88,4.00,5.00,5.00,17,,08/2021
29-2081.00,"Opticians, Dispensing",3,Job Zone Three: Medium Preparation Needed,7.46,6.46,6.54,5.76,5.88,5.88,4.25,5.07,5.38,17,,08/2022
29-2091.00,Orthotists and Prosthetists,5,Job Zone Five: Extensive Preparation Needed,8.40,6.41,6.08,7.88,5.50,5.50,3.50,4.75,5.00,17,,08/2024
29-2092.00,Hearing Aid Specialists,3,Job Zone Three: Medium Preparation Needed,7.06,5.17,5.34,5.76,6.00,6.00,1.88,4.13,4.19,17,,08/2020
29-2099.01,Neurodiagnostic Technologists,3,Job Zone Three: Medium Preparation Needed,7.73,5.38,5.13,5.76,6.24,6.24,3.00,4.19,4.62,17,,08/2022
29-2099.05,Ophthalmic Medical Technologists,3,Job Zone Three: Medium Preparation Needed,7.38,5.71,5.59,5.12,6.00,6.00,3.75,4.63,4.88,17,,08/2020
29-2099.08,Patient Representatives,3,Job Zone Three: Medium Preparation Needed,7.55,4.73,4.73,3.88,5.24,5.24,1.37,1.57,2.75,17,,08/2020
29-9091.00,Athletic Trainers,5,Job Zone Five: Extensive Preparation Needed,7.67,4.44,4.44,6.25,5.88,5.88,3.13,4.51,4.57,17,,08/2021
29-9092.00,Genetic Counselors,5,Job Zone Five: Extensive Preparation Needed,8.60,6.65,6.49,5.24,5.88,5.88,1.00,1.00,2.75,17,,07/2014
29-9093.00,Surgical Assistants,3,Job Zone Three: Medium Preparation Needed,7.36,5.13,5.25,6.37,6.88,6.88,5.75,6.44,6.94,17,,07/2015
29-9099.01,Midwives,5,Job Zone Five: Extensive Preparation Needed,7.78,4.48,4.52,5.50,6.00,6.00,4.00,4.56,4.94,17,,08/2021
31-1121.00,Home Health Aides,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.55,4.02,4.02,5.63,4.87,4.87,1.00,3.13,3.44,17,,07/2014
31-1122.00,Personal Care Aides,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.45,3.66,3.75,4.50,4.50,4.50,2.12,3.06,3.25,17,,08/2023
31-1131.00,Nursing Assistants,3,Job Zone Three: Medium Preparation Needed,6.43,4.14,4.14,4.00,4.50,4.50,2.50,4.00,4.00,17,,08/2020
31-1132.00,Orderlies,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.38,2.58,2.66,4.00,4.25,4.25,3.13,4.32,4.20,17,,07/2016
31-1133.00,Psychiatric Aides,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.68,3.84,3.84,4.50,6.00,6.00,3.00,3.94,4.13,17,,08/2023
31-2011.00,Occupational Therapy Assistants,3,Job Zone Three: Medium Preparation Needed,7.50,4.01,4.05,5.24,5.63,5.63,3.50,4.63,4.75,17,,08/2022
31-2012.00,Occupational Therapy Aides,3,Job Zone Three: Medium Preparation Needed,6.89,4.13,4.22,4.50,4.50,4.50,1.88,3.76,3.94,17,,08/2020
31-2021.00,Physical Therapist Assistants,3,Job Zone Three: Medium Preparation Needed,7.44,4.44,4.44,6.00,6.00,6.00,3.37,4.63,4.63,17,,08/2020
31-2022.00,Physical Therapist Aides,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.34,4.00,4.08,4.87,5.13,5.13,3.50,4.37,4.44,17,,08/2023
31-9011.00,Massage Therapists,3,Job Zone Three: Medium Preparation Needed,6.58,3.11,3.07,3.88,3.88,3.88,4.25,5.44,5.31,17,,08/2021
31-9091.00,Dental Assistants,3,Job Zone Three: Medium Preparation Needed,6.89,3.94,4.06,5.00,5.26,5.26,4.00,5.00,5.12,17,,08/2021
31-9092.00,Medical Assistants,3,Job Zone Three: Medium Preparation Needed,7.78,5.10,5.23,4.50,5.88,5.88,3.25,3.88,4.63,17,,08/2021
31-9093.00,Medical Equipment Preparers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.39,4.54,4.62,6.25,6.37,6.37,4.24,5.25,5.37,17,,07/2014
31-9094.00,Medical Transcriptionists,3,Job Zone Three: Medium Preparation Needed,7.98,3.15,3.23,2.87,5.88,5.88,3.75,4.31,4.94,17,,08/2021
31-9095.00,Pharmacy Aides,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.37,5.04,4.96,4.24,5.50,5.50,2.63,3.57,4.26,17,,07/2014
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.50,5.41,5.41,4.37,5.38,5.38,3.88,4.94,4.94,17,,08/2020
31-9097.00,Phlebotomists,3,Job Zone Three: Medium Preparation Needed,6.99,4.36,4.36,5.12,6.00,6.00,2.37,4.19,4.50,17,,08/2019
31-9099.01,Speech-Language Pathology Assistants,3,Job Zone Three: Medium Preparation Needed,7.87,3.77,3.81,4.37,5.63,5.63,2.12,3.06,3.19,17,,08/2022
31-9099.02,Endoscopy Technicians,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.06,4.06,4.06,5.76,6.00,6.00,4.00,5.13,5.19,17,,08/2023
33-1011.00,First-Line Supervisors of Correctional Officers,3,Job Zone Three: Medium Preparation Needed,7.79,4.52,4.69,4.75,6.24,6.24,2.37,3.50,3.38,17,,08/2020
33-1012.00,First-Line Supervisors of Police and Detectives,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.98,4.87,4.87,5.63,6.00,6.00,3.38,4.69,4.44,17,,08/2024
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,3,Job Zone Three: Medium Preparation Needed,7.61,5.47,5.51,6.37,6.63,6.63,4.37,5.50,5.13,17,,08/2022
33-1091.00,First-Line Supervisors of Security Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.68,4.47,4.55,5.12,6.13,6.13,4.25,4.25,4.31,17,,08/2025
33-2011.00,Firefighters,3,Job Zone Three: Medium Preparation Needed,7.02,5.85,5.80,6.75,6.88,6.88,5.12,6.00,5.56,17,,08/2022
33-2021.00,Fire Inspectors and Investigators,3,Job Zone Three: Medium Preparation Needed,7.64,5.26,5.35,5.63,6.00,6.00,4.50,4.56,4.44,17,,08/2022
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3,Job Zone Three: Medium Preparation Needed,7.08,5.21,5.29,5.63,6.50,6.50,3.00,3.94,4.06,17,,08/2019
33-3011.00,Bailiffs,3,Job Zone Three: Medium Preparation Needed,6.03,2.57,2.82,3.38,4.63,4.63,1.63,2.44,2.51,17,,08/2020
33-3012.00,Correctional Officers and Jailers,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.09,4.43,4.55,5.88,6.00,6.00,3.38,4.69,4.63,17,,08/2023
33-3021.00,Detectives and Criminal Investigators,3,Job Zone Three: Medium Preparation Needed,7.99,4.83,4.75,5.76,6.25,6.25,4.25,4.50,4.31,17,,08/2022
33-3021.02,Police Identification and Records Officers,3,Job Zone Three: Medium Preparation Needed,7.63,4.85,4.60,5.63,6.00,6.00,4.37,4.81,4.87,17,,08/2025
33-3021.06,Intelligence Analysts,4,Job Zone Four: Considerable Preparation Needed,8.62,5.75,5.62,5.50,6.12,6.12,2.24,2.24,2.31,17,,08/2024
33-3031.00,Fish and Game Wardens,4,Job Zone Four: Considerable Preparation Needed,7.64,5.50,5.54,4.88,5.63,5.63,2.63,3.88,3.88,17,,07/2014
33-3041.00,Parking Enforcement Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.32,4.14,4.23,4.24,5.50,5.50,2.62,3.62,3.81,17,,07/2016
33-3051.00,Police and Sheriff's Patrol Officers,3,Job Zone Three: Medium Preparation Needed,7.75,4.42,4.58,5.24,6.37,6.37,4.88,5.32,4.94,17,,08/2022
33-3051.04,Customs and Border Protection Officers,3,Job Zone Three: Medium Preparation Needed,7.81,4.51,4.60,4.88,6.37,6.37,2.76,4.07,4.26,17,,07/2012
33-3052.00,Transit and Railroad Police,3,Job Zone Three: Medium Preparation Needed,7.34,4.58,4.58,5.50,6.00,6.00,4.24,5.00,4.62,17,,07/2017
33-9011.00,Animal Control Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.89,3.87,3.79,4.00,4.12,4.12,2.88,4.44,4.00,17,,08/2025
33-9021.00,Private Detectives and Investigators,3,Job Zone Three: Medium Preparation Needed,7.94,4.58,4.58,4.50,6.00,6.00,2.75,3.25,3.63,17,,07/2015
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.10,5.01,5.05,4.50,6.63,6.63,2.63,3.07,3.25,17,,08/2019
33-9032.00,Security Guards,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.62,3.64,3.64,4.63,5.88,5.88,3.00,3.37,3.44,17,,08/2023
33-9091.00,Crossing Guards and Flaggers,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.19,2.03,2.11,3.13,4.25,4.25,2.00,3.13,2.94,17,,07/2016
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2,Job Zone 1-2: Very Little to Some Preparation Needed,6.14,2.67,2.83,4.00,6.00,6.00,1.00,2.62,2.25,17,,08/2020
33-9093.00,Transportation Security Screeners,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.34,3.26,3.26,5.37,6.87,6.87,3.87,4.94,4.81,17,,06/2009
33-9099.02,Retail Loss Prevention Specialists,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.06,5.56,5.69,5.12,5.50,5.50,2.00,3.06,3.38,17,,07/2014
35-1011.00,Chefs and Head Cooks,3,Job Zone Three: Medium Preparation Needed,7.12,6.50,6.54,6.37,6.25,6.25,5.00,5.62,5.56,17,,08/2025
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.07,6.04,6.12,6.00,5.76,5.76,4.00,4.56,4.69,17,,08/2025
35-2011.00,"Cooks, Fast Food",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.33,3.29,3.46,3.50,4.00,4.00,3.13,4.26,3.63,17,,08/2019
35-2012.00,"Cooks, Institution and Cafeteria",2,Job Zone 1-2: Very Little to Some Preparation Needed,6.06,5.68,5.85,5.75,5.25,5.25,4.50,5.25,5.25,17,,08/2019
35-2013.00,"Cooks, Private Household",3,Job Zone Three: Medium Preparation Needed,5.90,4.76,4.89,5.00,4.87,4.87,4.50,5.25,5.31,17,,08/2023
35-2014.00,"Cooks, Restaurant",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.43,4.01,4.17,5.13,6.00,6.00,5.00,5.82,5.50,17,,08/2025
35-2015.00,"Cooks, Short Order",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.26,3.88,3.97,4.37,5.37,5.37,3.00,4.56,4.44,17,,08/2025
35-2021.00,Food Preparation Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,4.61,3.18,3.30,3.88,3.88,3.88,3.38,4.57,4.57,17,,08/2024
35-3011.00,Bartenders,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.53,4.77,4.90,5.12,5.37,5.37,3.75,4.94,4.88,17,,07/2017
35-3023.00,Fast Food and Counter Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,4.94,4.33,4.46,2.87,4.00,4.00,2.24,3.56,3.25,17,,08/2025
35-3023.01,Baristas,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.99,4.19,4.35,4.76,5.25,5.25,4.50,5.19,5.37,17,,07/2015
35-3031.00,Waiters and Waitresses,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.77,4.11,4.19,4.00,4.12,4.12,1.24,3.50,3.19,17,,08/2025
35-3041.00,"Food Servers, Nonrestaurant",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.57,3.97,4.26,4.24,4.24,4.24,2.76,3.95,3.63,17,,08/2020
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2,Job Zone 1-2: Very Little to Some Preparation Needed,4.69,3.06,3.06,4.25,3.88,3.88,3.38,4.75,4.51,17,,08/2021
35-9021.00,Dishwashers,2,Job Zone 1-2: Very Little to Some Preparation Needed,4.32,2.31,2.39,3.63,4.00,4.00,2.38,4.75,3.63,17,,08/2025
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.70,3.83,3.91,3.88,4.12,4.12,1.24,2.68,2.75,17,,08/2025
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.66,4.47,4.80,4.24,4.62,4.62,3.26,4.19,3.94,17,,08/2020
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,Job Zone Three: Medium Preparation Needed,7.06,6.01,6.09,6.50,6.24,6.24,3.38,4.69,4.69,17,,08/2021
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",3,Job Zone Three: Medium Preparation Needed,5.01,2.35,2.31,4.37,4.12,4.12,2.88,4.13,4.07,17,,08/2023
37-2012.00,Maids and Housekeeping Cleaners,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.01,2.92,3.00,3.88,4.00,4.00,2.76,3.82,3.69,17,,08/2020
37-2021.00,Pest Control Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.53,5.06,5.27,5.88,5.88,5.88,4.00,4.94,4.82,17,,07/2015
37-3011.00,Landscaping and Groundskeeping Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,4.58,3.26,3.55,5.75,4.26,4.26,2.50,4.50,3.88,17,,07/2015
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.89,4.89,5.30,5.13,4.75,4.75,3.62,4.87,4.75,17,,07/2015
37-3013.00,Tree Trimmers and Pruners,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.54,3.60,3.52,6.24,4.88,4.88,5.00,6.32,5.56,17,,08/2018
39-1013.00,First-Line Supervisors of Gambling Services Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.30,5.86,6.07,4.50,5.50,5.50,4.00,4.32,4.56,17,,08/2022
39-1022.00,First-Line Supervisors of Personal Service Workers,3,Job Zone Three: Medium Preparation Needed,7.50,4.55,4.51,4.24,5.12,5.12,3.00,3.38,3.38,17,,08/2024
39-2011.00,Animal Trainers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.38,3.80,3.84,5.12,5.26,5.26,3.74,4.81,4.69,17,,07/2014
39-2021.00,Animal Caretakers,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.84,4.04,4.13,4.00,4.24,4.24,1.88,3.44,3.44,17,,08/2019
39-3011.00,Gambling Dealers,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.88,5.83,6.08,4.50,5.76,5.76,3.25,4.50,4.63,17,,08/2019
39-3012.00,Gambling and Sports Book Writers and Runners,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.33,6.18,6.26,4.12,5.50,5.50,1.75,3.25,3.44,17,,07/2014
39-3021.00,Motion Picture Projectionists,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.86,2.89,3.22,5.50,5.88,5.88,2.87,4.38,4.38,17,,08/2020
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.44,3.60,3.76,3.88,4.74,4.74,2.50,3.44,3.44,17,,07/2015
39-3091.00,Amusement and Recreation Attendants,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.75,3.96,4.00,4.12,4.24,4.24,3.13,3.88,3.57,17,,08/2020
39-3092.00,Costume Attendants,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.18,3.72,3.85,5.25,4.50,4.50,3.25,4.51,4.63,17,,07/2016
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2,Job Zone 1-2: Very Little to Some Preparation Needed,5.66,2.37,2.45,2.00,2.63,2.63,1.00,2.25,2.19,17,,07/2011
39-4011.00,Embalmers,3,Job Zone Three: Medium Preparation Needed,6.83,4.28,4.32,6.12,4.63,4.63,3.75,5.00,4.94,17,,08/2021
39-4021.00,Funeral Attendants,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.06,3.55,3.67,4.24,3.13,3.13,2.00,3.00,2.88,17,,08/2024
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3,Job Zone Three: Medium Preparation Needed,7.43,5.64,5.68,5.63,4.37,4.37,4.12,4.88,4.56,17,,08/2024
39-5011.00,Barbers,3,Job Zone Three: Medium Preparation Needed,5.58,3.62,3.79,6.00,3.38,3.38,4.25,5.32,5.38,17,,08/2018
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3,Job Zone Three: Medium Preparation Needed,6.05,4.31,4.26,7.12,5.12,5.12,3.88,5.76,5.76,17,,07/2016
39-5091.00,"Makeup Artists, Theatrical and Performance",3,Job Zone Three: Medium Preparation Needed,7.04,4.34,4.42,7.62,5.37,5.37,3.62,5.37,5.44,17,,08/2025
39-5092.00,Manicurists and Pedicurists,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.02,3.24,3.61,4.50,4.00,4.00,2.00,3.69,4.06,17,,07/2015
39-5093.00,Shampooers,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.56,2.89,2.94,3.62,3.50,3.50,2.87,4.38,4.25,17,,06/2008
39-5094.00,Skincare Specialists,3,Job Zone Three: Medium Preparation Needed,6.67,3.13,3.26,4.74,4.38,4.38,3.24,4.50,4.68,17,,08/2025
39-6011.00,Baggage Porters and Bellhops,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.99,3.96,3.96,4.37,5.00,5.00,2.87,4.13,3.87,17,,08/2018
39-6012.00,Concierges,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.98,4.09,4.13,3.63,4.00,4.00,2.63,1.94,2.32,17,,08/2025
39-7011.00,Tour Guides and Escorts,3,Job Zone Three: Medium Preparation Needed,6.67,3.04,3.04,3.38,3.38,3.38,1.50,1.81,1.63,17,,08/2020
39-7012.00,Travel Guides,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.07,4.41,4.70,5.24,5.37,5.37,2.25,3.13,3.13,17,,08/2022
39-9011.00,Childcare Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.42,4.05,4.05,5.37,5.00,5.00,1.88,3.00,3.44,17,,08/2018
39-9011.01,Nannies,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.73,3.09,3.55,5.24,4.76,4.76,2.88,3.88,3.75,17,,08/2023
39-9031.00,Exercise Trainers and Group Fitness Instructors,3,Job Zone Three: Medium Preparation Needed,6.52,3.49,3.57,4.00,4.00,4.00,2.50,4.25,3.19,17,,08/2025
39-9032.00,Recreation Workers,4,Job Zone Four: Considerable Preparation Needed,7.23,4.84,4.83,5.12,4.87,4.87,2.24,2.37,3.12,17,,07/2017
39-9041.00,Residential Advisors,3,Job Zone Three: Medium Preparation Needed,7.14,4.15,4.15,4.62,4.50,4.50,1.50,2.25,2.63,17,,08/2019
41-1011.00,First-Line Supervisors of Retail Sales Workers,2,Job Zone 1-2: Very Little to Some Preparation Needed,7.14,6.04,6.13,5.13,5.24,5.24,3.75,4.07,4.32,17,,08/2018
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,4,Job Zone Four: Considerable Preparation Needed,7.72,6.31,6.27,5.63,5.37,5.37,1.88,2.07,3.13,17,,08/2020
41-2011.00,Cashiers,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.75,4.94,5.10,3.38,4.63,4.63,3.13,3.88,4.00,17,,08/2024
41-2012.00,Gambling Change Persons and Booth Cashiers,2,Job Zone 1-2: Very Little to Some Preparation Needed,5.96,5.83,6.04,4.24,6.00,6.00,3.74,4.37,4.68,17,,08/2019
41-2021.00,Counter and Rental Clerks,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.67,4.96,5.17,4.12,4.87,4.87,3.50,3.75,3.94,17,,08/2019
41-2022.00,Parts Salespersons,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.97,5.81,6.02,5.63,6.00,6.00,2.87,4.07,4.38,17,,08/2023
41-2031.00,Retail Salespersons,2,Job Zone 1-2: Very Little to Some Preparation Needed,6.66,5.17,5.29,4.62,4.62,4.62,1.76,2.82,3.20,17,,08/2018
